#mT Tbq_01 Tbq_02 Tbq_03
935.0 0.431325 0.41307499999999997 0.396775
935.5 0.43042250000000004 0.4121975 0.39590749999999997
936.0 0.42952 0.41132 0.39503999999999995
936.5 0.4286175 0.4104425 0.3941725
937.0 0.427715 0.40956499999999996 0.393305
937.5 0.42681250000000004 0.4086875 0.3924375
938.0 0.42591 0.40781 0.39157
938.5 0.4250075 0.4069325 0.39070249999999995
939.0 0.424105 0.40605499999999994 0.389835
939.5 0.42320250000000004 0.40517749999999997 0.38896749999999997
940.0 0.4223 0.4043 0.3881
940.5 0.42139750000000004 0.4034225 0.3872325
941.0 0.420495 0.402545 0.38636499999999996
941.5 0.41959250000000003 0.40166749999999996 0.38549749999999994
942.0 0.41869 0.40079 0.38462999999999997
942.5 0.41778750000000003 0.3999125 0.3837625
943.0 0.416885 0.399035 0.382895
943.5 0.41598250000000003 0.3981575 0.38202749999999996
944.0 0.41508 0.39727999999999997 0.38115999999999994
944.5 0.41417750000000003 0.3964025 0.3802925
945.0 0.413275 0.39552499999999996 0.37942499999999996
945.5 0.41237250000000003 0.3946475 0.3785575
946.0 0.41147 0.39377 0.37768999999999997
946.5 0.41056750000000003 0.3928925 0.37682249999999995
