m k res ratio channel r
2103.030303030303 1.0302397569800248 -1 -1.0302397569800248 -1 0.9135142971282267
1509.090909090909 0.7468269371843071 0 1.2526908663297014 30 0.09525057009703539
2315.151515151515 0.7298630760625856 -1 -0.7298630760625856 -1 1.4961351769403806
1042.4242424242425 0.7959721944150612 0 1.4580116587666725 31 0.045444300204793495
1905.050505050505 0.8751602904627189 -1 -0.8751602904627189 -1 0.24783948199897143
1848.4848484848485 0.8156878020385229 -1 -0.8156878020385229 -1 0.12747662248109662
2244.4444444444443 0.9599030485569313 -1 -0.9599030485569313 -1 0.5098463941288423
2046.4646464646464 1.0695658493154963 -1 -1.0695658493154963 -1 0.7602820287001626
1791.919191919192 0.5810124798082691 -1 -0.5810124798082691 -1 0.06476744133161665
1678.7878787878788 1.0467786521319402 0 1.5083145531470579 30 0.3842869954342695
1961.6161616161617 0.4419977873579353 -1 -0.4419977873579353 -1 0.00012418545002974095
2371.717171717172 1.0977959524089134 -1 -1.0977959524089134 -1 1.0763505080059381
2117.1717171717173 0.9509367309833995 -1 -0.9509367309833995 -1 1.1202680944025283
1296.969696969697 0.9804490825141728 0 1.578909802258968 30 0.1524863370618602
1890.909090909091 0.6373523440142246 -1 -0.6373523440142246 -1 0.1181633728978168
1593.939393939394 0.5634786689355383 1 0.8031362756481712 30 0.7714751552605607
2004.0404040404042 0.832917886076519 -1 -0.832917886076519 -1 0.2509351509856573
1480.8080808080808 1.103681487386087 0 1.8851371514497584 30 0.32722460022089045
1919.1919191919192 1.0519432734242642 -1 -1.0519432734242642 -1 0.4569432283321064
1523.2323232323233 1.0226397507769605 0 1.6662206214304793 30 0.27862771154695065
1763.6363636363635 1.085986823339131 -1 -1.085986823339131 -1 0.3613764909605432
1070.7070707070707 0.9766265950733097 0 1.7988245562418783 31 0.09248525656792768
2046.4646464646464 1.0869518903202242 -1 -1.0869518903202242 -1 0.7806913773817136
2258.5858585858587 0.7949535827421872 -1 -0.7949535827421872 -1 0.3044078221478206
1000.0 0.41611396722581995 -1 -0.41611396722581995 -1 0.0011616567547447557
1523.2323232323233 0.36198685251611695 1 0.5897970990183187 30 0.0
2315.151515151515 0.28288157507532335 -1 -0.28288157507532335 -1 0.03390478606547748
1113.1313131313132 0.7809936133235946 0 1.4450905889392252 31 0.07053260857853923
1466.6666666666667 0.8168809874663471 0 1.3942485156623337 30 0.56231256622822
1113.1313131313132 0.9283560356686352 0 1.7177586953887354 31 0.2821304343141569
1593.939393939394 0.902132970670001 0 1.2858263393928262 30 0.6494690939333514
2103.030303030303 0.16380376996752258 -1 -0.16380376996752258 -1 0.005138517921346274
2385.8585858585857 0.6249293595236162 -1 -0.6249293595236162 -1 1.6232733793502239
1975.7575757575758 0.8387372942014415 -1 -0.8387372942014415 -1 0.9535613914776953
1212.121212121212 0.8854962041470846 0 1.4843074249647958 31 0.08363774371898942
1749.4949494949497 0.704276147399791 -1 -0.704276147399791 -1 0.07744269405113043
1650.5050505050506 0.9354233451226385 0 1.3374003629636926 30 0.17020630097806616
1014.1414141414141 1.0205509343180126 0 1.8591472237444768 31 0.18173533657657748
1084.8484848484848 0.7346535492748958 0 1.3568955018772266 31 0.3427513376165854
1113.1313131313132 0.5923743324102118 0 1.0960839606001571 31 0.014434394385970894
1975.7575757575758 0.9102824296779622 -1 -0.9102824296779622 -1 0.3024839345934662
1862.6262626262628 1.0615113106828729 -1 -1.0615113106828729 -1 0.6987901764576366
