mass br_wb br_zt br_ht s_r
1997 0.007421978310114958 0.4910664755150744 0.5015115461748106 0.1
1998 0.0074147348980533245 0.49107520041100494 0.5015100646909416 0.1
1999 0.007407502002153328 0.4910839126309607 0.501508585366886 0.1
2000 0.007400279602218823 0.4910926121992965 0.5015071081984847 0.1
2001 0.007393067678101778 0.4911012991403103 0.5015056331815879 0.1
2002 0.007385866209702146 0.4911099734782417 0.5015041603120561 0.1
2003 0.00737867517696774 0.49111863523727256 0.5015026895857596 0.1
2004 0.007371494559894086 0.49112728444152726 0.5015012209985786 0.1
2005 0.007364324338524282 0.49113592111507287 0.5014997545464029 0.1
2006 0.007357164492948867 0.4911445452819191 0.501498290225132 0.1
2007 0.007350015003305679 0.4911531569660189 0.5014968280306754 0.1
2008 0.007342875849779772 0.491161756191268 0.5014953679589522 0.1
2009 0.0073357470126032 0.4911703429815057 0.501493910005891 0.1
2010 0.00732862847205494 0.4911789173605144 0.5014924541674307 0.1
2011 0.007321520208460741 0.4911874793520205 0.5014910004395188 0.1
2012 0.007314422202193012 0.49119602897969394 0.501489548818113 0.1
2013 0.007307334433670648 0.49120456626714815 0.5014880992991813 0.1
2014 0.0073002568833589404 0.4912130912379414 0.5014866518786997 0.1
2015 0.0072931895317694334 0.49122160391557573 0.5014852065526547 0.1
2016 0.007286132359459774 0.4912301043234979 0.5014837633170424 0.1
2017 0.007279085347033614 0.49123859248509855 0.5014823221678678 0.1
2018 0.0072720484751404545 0.4912470684237137 0.5014808831011459 0.1
2019 0.007265021724475535 0.491255532162624 0.5014794461129004 0.1
2020 0.007258005075779683 0.49126398372505503 0.5014780111991654 0.1
2021 0.007250998509839213 0.49127242313417735 0.5014765783559835 0.1
2022 0.007244002007485776 0.4912808504131073 0.5014751475794068 0.1
2023 0.007237015549596251 0.4912892655849066 0.5014737188654972 0.1
2024 0.007230039117092584 0.49129766867258196 0.5014722922103254 0.1
2025 0.007223072690941718 0.49130605969908697 0.5014708676099713 0.1
2026 0.007216116252155394 0.49131443868731994 0.5014694450605246 0.1
2027 0.007209169781790091 0.4913228056601262 0.5014680245580837 0.1
2028 0.007202233260946881 0.4913311606402968 0.5014666060987564 0.1
2029 0.0071953066707712695 0.49133950365056944 0.5014651896786593 0.1
2030 0.007188389992453116 0.4913478347136283 0.5014637752939185 0.1
2031 0.00718148320722649 0.49135615385210424 0.5014623629406694 0.1
2032 0.007174586296369535 0.4913644610885744 0.501460952615056 0.1
2033 0.00716769924120438 0.49137275644556405 0.5014595443132317 0.1
2034 0.007160822023096984 0.49138103994554444 0.5014581380313586 0.1
2035 0.0071539546234570305 0.4913893116109351 0.501456733765608 0.1
2036 0.007147097023737796 0.491397571464102 0.5014553315121603 0.1
2037 0.0071402492054360184 0.49140581952735934 0.5014539312672046 0.1
2038 0.007133411150091812 0.49141405582296904 0.5014525330269392 0.1
2039 0.007126582839288507 0.4914222803731403 0.5014511367875711 0.1
2040 0.007119764254652559 0.4914304932000311 0.5014497425453163 0.1
2041 0.007112955377853406 0.49143869432574705 0.5014483502963997 0.1
2042 0.007106156190603353 0.491446883772342 0.5014469600370546 0.1
2043 0.007099366674657458 0.4914550615618189 0.5014455717635238 0.1
2044 0.007092586811813416 0.4914632277161284 0.5014441854720582 0.1
2045 0.0070858165839114435 0.4914713822571706 0.501442801158918 0.1
2046 0.0070790559728341335 0.4914795252067941 0.5014414188203717 0.1
2047 0.007072304960506373 0.49148765658679655 0.501440038452697 0.1
2048 0.007065563528895197 0.49149577641892495 0.50143866005218 0.1
2049 0.0070588316600096995 0.4915038847248752 0.5014372836151151 0.1
2050 0.007052109335900882 0.4915119815262929 0.5014359091378062 0.1
2051 0.007045396538661562 0.49152006684477345 0.5014345366165649 0.1
2052 0.0070386932504262565 0.4915281407018616 0.5014331660477122 0.1
2053 0.007031999453371051 0.49153620311905216 0.5014317974275768 0.1
2054 0.007025315129713502 0.4915442541177894 0.501430430752497 0.1
2055 0.007018640261712509 0.4915522937194687 0.5014290660188189 0.1
2056 0.0070119748316681925 0.49156032194543514 0.5014277032228968 0.1
2057 0.007005318821921817 0.49156833881698414 0.5014263423610941 0.1
