mass br_wb br_zt br_ht s_u_r s_d_r
508 0.05453470959909369 0.30115428075674777 0.6443110096441585 0.4 0.4
509 0.054541354839132125 0.30166429209967 0.6437943530611979 0.4 0.4
510 0.05454806615390037 0.30217241436953085 0.6432795194765687 0.4 0.4
511 0.054554841601840064 0.30267865259199717 0.6427665058061628 0.4 0.4
512 0.05456167928486565 0.30318301184768404 0.6422553088674503 0.4 0.4
513 0.05456857734733397 0.3036854972701263 0.6417459253825397 0.4 0.4
514 0.05457553397504131 0.3041861140438015 0.6412383519811571 0.4 0.4
515 0.05458254739424706 0.30468486740220463 0.6407325852035483 0.4 0.4
516 0.05458961587072319 0.3051817626259715 0.6402286215033053 0.4 0.4
517 0.05459673770882855 0.30567680504105177 0.6397264572501196 0.4 0.4
518 0.05460391125060789 0.30617000001692696 0.6392260887324652 0.4 0.4
519 0.054611134874913855 0.30666135296487596 0.6387275121602102 0.4 0.4
520 0.054618406996552335 0.3071508693362834 0.6382307236671643 0.4 0.4
521 0.05462572606544968 0.3076385546209927 0.6377357193135578 0.4 0.4
522 0.05463309056584167 0.3081244143457003 0.637242495088458 0.4 0.4
523 0.05464049901548316 0.30860845407239107 0.6367510469121258 0.4 0.4
524 0.05464794996487819 0.30909067939681373 0.6362613706383081 0.4 0.4
525 0.05465544199652958 0.3095710959469956 0.6357734620564749 0.4 0.4
526 0.054662973724208114 0.3100497093817942 0.6352873168939978 0.4 0.4
527 0.05467054379223954 0.3105265253894869 0.6348029308182735 0.4 0.4
528 0.05467815087481046 0.3110015496863947 0.6343202994387949 0.4 0.4
529 0.054685793675291104 0.3114747880155449 0.6338394183091639 0.4 0.4
530 0.05469347092557535 0.3119462461453619 0.6333602829290628 0.4 0.4
531 0.05470118138543753 0.3124159298683969 0.6328828887461657 0.4 0.4
532 0.05470892384190477 0.3128838450000869 0.6324072311580083 0.4 0.4
533 0.054716697108645504 0.3133499973775461 0.6319333055138083 0.4 0.4
534 0.054724500025372894 0.31381439285838775 0.6314611071162394 0.4 0.4
535 0.05473233145726292 0.3142770373195767 0.6309906312231603 0.4 0.4
