mass s_L res ratio channel
839.0819618309072 0.7907858705662272 0 1.4836469252620956 31
816.3032719286002 0.1688961730319618 1 0.3235728459210929 31
741.5989099542594 0.5758616869102392 0 1.2486944902407158 31
844.9081118957675 0.6886723167127062 0 1.2852626772926172 31
921.8679817479309 0.2012549530407317 1 0.33695342483180796 31
1034.0025119112083 0.017312461759751763 1 0.022443800290777305 31
730.9857863849572 0.893653973349049 0 1.9790541113345392 31
1010.0633177345175 0.28583611300791734 1 0.38820842314812914 31
748.7594923003336 0.32594203908693364 1 0.6969665451951392 31
1013.073457696897 0.6873313608322987 1 0.9279411947307205 31
1185.3338066162232 0.6823562302314923 1 0.7969705199637794 31
776.1242983987083 0.1300115272654172 1 0.26401010606221864 31
1050.5551430705607 0.10721080649018011 1 0.1347510775416297 31
617.1657643589509 0.9056652303228203 0 2.13860183985023 31
1146.0007501209902 0.2754190531408395 1 0.3196370581354167 31
1050.101434344841 0.775783348735309 1 0.9758816274348573 31
866.9849524058973 0.21979754689546427 1 0.4021830860974091 31
844.8704183626307 0.6439631199739294 0 1.2018632586461089 31
1196.7285770934996 0.12012362143494704 1 0.14056095325472703 31
1072.161280957939 0.5855054957426479 1 0.7077503509417336 31
813.7378235581615 0.9991581668789568 0 1.9187624124074913 31
779.5606469667715 0.4297583089788899 1 0.8672136715659827 31
963.1477781715292 0.2083144569219093 1 0.31423011448220106 31
997.1033608072771 0.8905228810947567 0 1.24210905438854 31
814.4226394856651 0.4124414796137935 1 0.791539976612304 31
948.8417470170789 0.9934568967742788 0 1.551836338993817 31
626.6197371841861 0.8304915583706475 0 1.9610897219477792 31
786.1756714135822 0.45684660718041603 1 0.9108603798710733 31
1043.6532807158947 0.8205731432012117 0 1.044638698104967 31
643.7846481864467 0.7545176078398086 0 1.7816878580515272 31
1062.993848662946 0.16519670588943136 1 0.20298290236430755 31
806.2683771662051 0.02726698532430827 1 0.05272915182462256 31
1159.793236481501 0.8630789243680321 0 1.0038810480835867 31
885.967961465021 0.13938785166376466 1 0.25083194198215064 31
1062.6702740743017 0.36888969657512094 1 0.45353170977588986 31
987.6174652214904 0.8387437662930852 0 1.1950361985936715 31
992.3618053991415 0.819915459186485 0 1.155783157153796 31
1185.6313880476173 0.395355138812316 1 0.4617846502202162 31
977.1777485663929 0.06102846113827254 1 0.08905995399688393 31
897.4072002267565 0.3596020115343892 1 0.6407269080772373 31
713.3276234039066 0.7475993051092038 0 1.716414155868573 31
601.6673987505344 0.658368217677142 0 1.5546445137585572 31
1079.320335439162 0.08716892866106862 1 0.10404928143585075 31
1091.8889564180135 0.2395140035219766 1 0.27974711873574165 31
1127.6221418683513 0.17078786495614118 1 0.19762088219373838 31
886.6367690279264 0.9004336437748509 0 1.6194093157050329 31
652.8299229032506 0.9018293772173291 0 2.12954400894965 31
949.3283074339079 0.35802235555940776 1 0.5585760909729816 31
1155.9395902374692 0.11600336443155157 1 0.13484395527014753 31
776.1430678908314 0.1475927850245251 1 0.29970143580224745 31
1142.6822976002006 0.7375451101262293 1 0.8554980230906686 31
696.7269151068036 0.02649228544540272 1 0.06255782876326252 31
634.2197142059772 0.055602027588258385 1 0.1312964156272925 31
796.9232036574408 0.806534576436553 0 1.5774451093900788 31
776.5687690680456 0.9702926874075014 0 1.968731460471682 31
660.039579662719 0.9079412576941512 0 2.1439763603252433 31
1138.041944616431 0.981000389613438 0 1.1370364448189298 31
1056.7864404032134 0.36679980137140134 1 0.4557930341958845 31
1024.1504017959364 0.8560503688060721 0 1.1309432535687631 31
1029.165209103679 0.7109086780280656 1 0.9301651842751122 31
844.3135794709644 0.4292386849463482 1 0.8015147164956444 31
747.9512552318198 0.9688750052033739 0 2.0750082063515767 31
1156.0593108425778 0.6040694936113781 1 0.7021925431575815 31
1084.6271993849123 0.05314860531414123 1 0.06285751264562056 31
813.2729121171495 0.9776743351258065 0 1.878317251273857 31
934.7230204876466 0.9745246791527161 0 1.5776030670903025 31
723.6669010315268 0.40995042637504 1 0.9213909381693589 31
613.5701495751537 0.5828812622401495 0 1.3763926207001238 31
838.6545028131429 0.1607570395713076 1 0.30172432723075593 31
815.2595770743337 0.05091037136835619 1 0.09762907434367679 31
624.072574784317 0.8253096914739066 0 1.9488534676363725 31
778.7063179982008 0.297729475141273 1 0.6017311317468473 31
978.2457898779419 0.4192039875746726 1 0.6102392587761255 31
955.7337476367115 0.2503969721599534 1 0.38454954732133456 31
984.2355654634086 0.006947033813605397 1 0.009974530509159904 31
676.2070825260929 0.9668085148567165 0 2.2829831591508136 31
756.1325059678945 0.35580595615414057 1 0.7501111913849994 31
763.4237473688219 0.5832904385756372 0 1.2128055739823786 31
652.4545821216656 0.5425804244438367 0 1.2812278258365968 31
1190.755524602362 0.45398156378804133 1 0.5307038491605633 31
682.1284633539531 0.40979348578729013 1 0.9676700322821866 31
1115.740583343897 0.4583499636684858 1 0.5293498745378885 31
997.5730563365565 0.927972151041321 0 1.2929962828100796 31
1098.8967877929376 0.26972687749103075 1 0.31130194577296433 31
