mass br_wb br_zt br_ht s_l
436 0.5078332345889087 0.1496521818970742 0.3425145835140171 0.1
437 0.5076605062270313 0.14999967719108237 0.34233981658188634 0.1
438 0.5074908900346419 0.15034562915558564 0.3421634808097724 0.1
439 0.5073243230384389 0.1506900436295625 0.34198563333199866 0.1
440 0.5071607437937032 0.15103292648798525 0.3418063297183114 0.1
441 0.507000092339621 0.1513742836395555 0.3416256240208237 0.1
442 0.506842310156155 0.15171412102452259 0.3414435688193223 0.1
443 0.506687340122412 0.1520524446125828 0.3412602152650052 0.1
444 0.5065351264764362 0.15238926040085457 0.34107561312270934 0.1
445 0.5063856147763757 0.1527245744119283 0.340889810811696 0.1
446 0.5062387518629698 0.1530583926919862 0.3407028554450439 0.1
447 0.5060944858232984 0.15339072130899123 0.3405147928677104 0.1
448 0.5059527659557487 0.15372156635094014 0.34032566769331135 0.1
449 0.50581354273615 0.1540509339241805 0.34013552333966945 0.1
450 0.5056767677850327 0.15437883015178785 0.33994440206317944 0.1
451 0.5055423938359623 0.1547052611720007 0.33975234499203694 0.1
452 0.505410374704916 0.15503023313671171 0.3395593921583722 0.1
453 0.5052806652606538 0.1553537522100129 0.33936558252933324 0.1
454 0.5051532213960522 0.1556758245667919 0.3391709540371558 0.1
455 0.5050280000003595 0.15599645639137943 0.33897554360826115 0.1
456 0.5049049589323411 0.15631565387624372 0.3387793871914151 0.1
457 0.504784056994283 0.15663342322073123 0.3385825197849859 0.1
458 0.5046652539068136 0.1569497706298532 0.3383849754633332 0.1
459 0.5045485102845265 0.1572647023131134 0.33818678740236013 0.1
460 0.5044337876123615 0.15757822448337908 0.33798798790425943 0.1
461 0.5043210482227266 0.15789034335579055 0.33778860842148284 0.1
462 0.5042102552733262 0.15820106514671048 0.3375886795799632 0.1
463 0.5041013727256777 0.15851039607270917 0.33738823120161304 0.1
464 0.5039943653242831 0.15881834234958717 0.3371872923261297 0.1
465 0.5038891985764412 0.1591249101914307 0.3369858912321281 0.1
466 0.5037858387326695 0.15943010580970285 0.3367840554576277 0.1
467 0.50368425276772 0.15973393541236497 0.33658181181991503 0.1
468 0.5035844083621662 0.1600364052030303 0.33637918643480336 0.1
469 0.5034862738845395 0.16033752138014795 0.33617620473531257 0.1
470 0.5033898183739989 0.16063729013621503 0.3359728914897862 0.1
471 0.5032950115235139 0.16093571765701778 0.33576927081946834 0.1
472 0.5032018236635426 0.16123281012090004 0.3355653662155573 0.1
473 0.5031102257461898 0.16152857369805662 0.33536120055575364 0.1
474 0.503020189329826 0.1618230145498542 0.33515679612032007 0.1
