#mT Tbq_005 Tbq_01 Tbq_02 Tbq_03
724.5 0.457425 0.9152275 1.813025 2.6788749999999997
725.0 0.45575000000000004 0.911875 1.8062500000000001 2.6687499999999997
725.5 0.45407500000000006 0.9085225 1.7994750000000002 2.658625
726.0 0.4524 0.90517 1.7927000000000002 2.6485
726.5 0.45072500000000004 0.9018174999999999 1.7859250000000002 2.638375
727.0 0.44905000000000006 0.898465 1.77915 2.6282499999999995
727.5 0.447375 0.8951125 1.7723750000000003 2.6181249999999996
728.0 0.44570000000000004 0.89176 1.7656 2.6079999999999997
728.5 0.44402500000000006 0.8884075 1.758825 2.5978749999999997
729.0 0.44235 0.885055 1.75205 2.5877499999999998
729.5 0.44067500000000004 0.8817025000000001 1.7452750000000001 2.577625
730.0 0.43900000000000006 0.87835 1.7385000000000002 2.5675
730.5 0.437325 0.8749975 1.7317250000000002 2.5573749999999995
731.0 0.43565000000000004 0.871645 1.7249500000000002 2.5472499999999996
731.5 0.433975 0.8682925 1.718175 2.5371249999999996
732.0 0.4323 0.86494 1.7114000000000003 2.5269999999999997
732.5 0.43062500000000004 0.8615875 1.704625 2.5168749999999998
733.0 0.42895000000000005 0.8582350000000001 1.69785 2.50675
733.5 0.427275 0.8548825 1.691075 2.496625
734.0 0.42560000000000003 0.85153 1.6843000000000001 2.4864999999999995
734.5 0.423925 0.8481775 1.6775250000000002 2.4763749999999995
735.0 0.42225 0.844825 1.6707500000000002 2.4662499999999996
735.5 0.42057500000000003 0.8414725000000001 1.6639750000000002 2.4561249999999997
736.0 0.41890000000000005 0.83812 1.6572000000000002 2.4459999999999997
736.5 0.417225 0.8347675 1.6504250000000003 2.435875
737.0 0.41555000000000003 0.831415 1.64365 2.42575
737.5 0.413875 0.8280625 1.6368750000000003 2.4156249999999995
738.0 0.4122 0.82471 1.6301 2.4054999999999995
738.5 0.41052500000000003 0.8213575 1.6233250000000001 2.3953749999999996
739.0 0.40885000000000005 0.8180050000000001 1.6165500000000002 2.3852499999999996
739.5 0.407175 0.8146525 1.6097750000000002 2.3751249999999997
740.0 0.4055 0.8113 1.6030000000000002 2.3649999999999998
740.5 0.403825 0.8079475 1.5962250000000002 2.354875
741.0 0.40215 0.8045950000000001 1.5894500000000003 2.3447499999999994
741.5 0.400475 0.8012425000000001 1.582675 2.3346249999999995
742.0 0.39880000000000004 0.79789 1.5759000000000003 2.3244999999999996
742.5 0.397125 0.7945375000000001 1.569125 2.3143749999999996
743.0 0.39545 0.791185 1.5623500000000003 2.3042499999999997
743.5 0.393775 0.7878325 1.5555750000000002 2.2941249999999997
744.0 0.3921 0.7844800000000001 1.5488000000000002 2.284
744.5 0.390425 0.7811275 1.5420250000000002 2.2738749999999994
745.0 0.38875000000000004 0.7777750000000001 1.5352500000000002 2.2637499999999995
745.5 0.387075 0.7744225 1.5284750000000003 2.2536249999999995
746.0 0.38539999999999996 0.7710700000000001 1.5217 2.2434999999999996
746.5 0.383725 0.7677175 1.5149250000000003 2.2333749999999997
747.0 0.38205 0.7643650000000001 1.50815 2.2232499999999997
747.5 0.380375 0.7610125000000001 1.5013750000000003 2.213125
748.0 0.37870000000000004 0.75766 1.4946000000000002 2.2029999999999994
748.5 0.377025 0.7543075000000001 1.4878250000000002 2.1928749999999995
749.0 0.37534999999999996 0.750955 1.4810500000000002 2.1827499999999995
749.5 0.373675 0.7476025000000001 1.4742750000000002 2.1726249999999996
750.0 0.372 0.7442500000000001 1.4675000000000002 2.1624999999999996
750.5 0.370325 0.7408975000000001 1.4607250000000003 2.1523749999999997
751.0 0.36865 0.7375450000000001 1.4539500000000003 2.1422499999999998
751.5 0.366975 0.7341925 1.4471750000000003 2.132125
752.0 0.3653 0.73084 1.4404000000000003 2.1219999999999994
752.5 0.363625 0.7274875000000001 1.4336250000000001 2.1118749999999995
753.0 0.36195 0.7241350000000001 1.4268500000000002 2.1017499999999996
753.5 0.360275 0.7207825000000001 1.4200750000000002 2.0916249999999996
754.0 0.3586 0.7174300000000001 1.4133000000000002 2.0814999999999997
754.5 0.356925 0.7140775 1.4065250000000002 2.0713749999999997
755.0 0.35525 0.710725 1.3997500000000003 2.06125
755.5 0.353575 0.7073725000000001 1.3929750000000003 2.051125
756.0 0.3519 0.7040200000000001 1.3862000000000003 2.0409999999999995
756.5 0.350225 0.7006675000000001 1.3794250000000001 2.0308749999999995
757.0 0.34854999999999997 0.697315 1.3726500000000001 2.0207499999999996
757.5 0.346875 0.6939625 1.3658750000000002 2.0106249999999997
758.0 0.3452 0.6906100000000001 1.3591000000000002 2.0004999999999997
758.5 0.34352499999999997 0.6872575000000001 1.3523250000000002 1.9903749999999998
759.0 0.34185 0.6839050000000001 1.3455500000000002 1.9802499999999996
759.5 0.340175 0.6805525000000001 1.3387750000000003 1.9701249999999997
760.0 0.3385 0.6772 1.3320000000000003 1.9599999999999997
760.5 0.336825 0.6738475 1.325225 1.9498749999999998
761.0 0.33515 0.6704950000000001 1.3184500000000001 1.9397499999999996
761.5 0.33347499999999997 0.6671425000000001 1.3116750000000001 1.9296249999999997
762.0 0.3318 0.6637900000000001 1.3049000000000002 1.9194999999999998
762.5 0.330125 0.6604375 1.2981250000000002 1.9093749999999998
763.0 0.32845 0.657085 1.2913500000000002 1.8992499999999997
763.5 0.326775 0.6537325 1.2845750000000002 1.8891249999999997
764.0 0.3251 0.6503800000000001 1.2778000000000003 1.8789999999999998
764.5 0.323425 0.6470275000000001 1.2710250000000003 1.8688749999999996
765.0 0.32175 0.643675 1.26425 1.8587499999999997
765.5 0.320075 0.6403225 1.2574750000000001 1.8486249999999997
766.0 0.3184 0.63697 1.2507000000000001 1.8384999999999998
766.5 0.316725 0.6336175000000001 1.2439250000000002 1.8283749999999999
767.0 0.31505 0.6302650000000001 1.2371500000000002 1.8182499999999997
767.5 0.313375 0.6269125000000001 1.2303750000000002 1.8081249999999998
768.0 0.3117 0.62356 1.2236000000000002 1.7979999999999998
768.5 0.310025 0.6202075 1.216825 1.7878749999999997
769.0 0.30835 0.616855 1.2100500000000003 1.7777499999999997
769.5 0.306675 0.6135025000000001 1.203275 1.7676249999999998
770.0 0.305 0.6101500000000001 1.1965000000000001 1.7574999999999998
770.5 0.303325 0.6067975000000001 1.1897250000000001 1.747375
771.0 0.30165 0.603445 1.1829500000000002 1.7372499999999997
771.5 0.299975 0.6000925 1.1761750000000002 1.7271249999999998
772.0 0.2983 0.59674 1.1694000000000002 1.7169999999999999
772.5 0.296625 0.5933875000000001 1.1626250000000002 1.7068749999999997
773.0 0.29495 0.5900350000000001 1.15585 1.6967499999999998
