#mT Tbq kappa
1080.5 0.028949999999999997 0.2
1081.0 0.0289 0.2
1081.5 0.02885 0.2
1082.0 0.0288 0.2
1082.5 0.028749999999999998 0.2
1083.0 0.028699999999999996 0.2
1083.5 0.02865 0.2
1084.0 0.0286 0.2
1084.5 0.02855 0.2
1085.0 0.028499999999999998 0.2
1085.5 0.02845 0.2
1086.0 0.028399999999999998 0.2
1086.5 0.02835 0.2
1087.0 0.0283 0.2
1087.5 0.028249999999999997 0.2
1088.0 0.0282 0.2
1088.5 0.02815 0.2
1089.0 0.0281 0.2
1089.5 0.02805 0.2
1090.0 0.027999999999999997 0.2
1090.5 0.02795 0.2
1091.0 0.0279 0.2
1091.5 0.02785 0.2
1092.0 0.0278 0.2
1092.5 0.027749999999999997 0.2
